"relative_path","exists_in_scratch","exists_in_primary","scratch_size","primary_size","hash_match_if_both","planned_action"
"DESIGN.md","True","True","23716","23716","True","skip"
"docs/agents/agent-action-policy.md","True","True","10716","10716","True","skip"
"docs/agents/autogpt-style-task-loop-boundaries.md","True","True","11109","11109","True","skip"
"docs/audit/agentic-owasp-controls.md","True","True","14693","14693","True","skip"
"docs/audit/codemod-safety-policy.md","True","True","12587","12587","True","skip"
"docs/audit/final-wave-source-risk-register.md","True","True","11066","11066","True","skip"
"docs/audit/media-automation-risk-policy.md","True","True","10366","10366","True","skip"
"docs/audit/piracy-malware-do-not-use-register.md","True","True","9270","9270","True","skip"
"docs/audit/prompt-leak-and-sensitive-source-policy.md","True","True","10283","10283","True","skip"
"docs/brain/ask-the-brain.md","True","True","7685","7685","True","skip"
"docs/brain/calibration-feedback-loop.md","True","True","11144","11144","True","skip"
"docs/brain/claim-governance.md","True","True","7461","7461","True","skip"
"docs/brain/entity-graph.md","True","True","10256","10256","True","skip"
"docs/brain/evidence-vault.md","True","True","6773","6773","True","skip"
"docs/brain/fantasy-war-room.md","True","True","7730","7730","True","skip"
"docs/brain/intelligence-routing.md","True","True","14978","14978","True","skip"
"docs/brain/market-gravity.md","True","True","6377","6377","True","skip"
"docs/brain/operator-cockpit-governance.md","True","True","7970","7970","True","skip"
"docs/brain/picks-intelligence.md","True","True","11862","11862","True","skip"
"docs/brain/public-trust-layer.md","True","True","12189","12189","True","skip"
"docs/brain/research-lab.md","True","True","6880","6880","True","skip"
"docs/brain/signal-ledger.md","True","True","8441","8441","True","skip"
"docs/brain/source-acquisition-mesh.md","True","True","12939","12939","True","skip"
"docs/brain/source-hierarchy.md","True","True","8752","8752","True","skip"
"docs/brain/weak-signal-engine.md","True","True","6715","6715","True","skip"
"docs/data/source-provider-module-taxonomy.md","True","True","12217","12217","True","skip"
"docs/data/sports-api-provider-policy.md","True","True","13423","13423","True","skip"
"docs/design/component-system-maturity.md","True","True","12271","12271","True","skip"
"docs/design/design-md-spec.md","True","True","5997","5997","True","skip"
"docs/design/design-to-react-review.md","True","True","9152","9152","True","skip"
"docs/design/final-wave-design-pattern-register.md","True","True","11761","11761","True","skip"
"docs/design/media-studio-doctrine.md","True","True","9270","9270","True","skip"
"docs/design/motion-and-transition-doctrine.md","True","True","14135","14135","True","skip"
"docs/design/obs-inspired-scene-system.md","True","True","8708","8708","True","skip"
"docs/design/stitch-agent-workflow.md","True","True","9553","9553","True","skip"
"docs/design/visual-language-palette-lab.md","True","True","10422","10422","True","skip"
"docs/media/audio-voice-policy.md","True","True","9088","9088","True","skip"
"docs/media/content-provenance-and-review.md","True","True","8743","8743","True","skip"
"docs/media/media-studio-workflow.md","True","True","9009","9009","True","skip"
"docs/media/video-brief-pipeline.md","True","True","8757","8757","True","skip"
"docs/media/youtube-automation-boundaries.md","True","True","8951","8951","True","skip"
"docs/models/answer-eval-benchmark-lab.md","True","True","11355","11355","True","skip"
"docs/models/fine-tuning-governance.md","True","True","9497","9497","True","skip"
"docs/models/local-model-lane.md","True","True","12893","12893","True","skip"
"docs/models/model-benchmark-lab.md","True","True","11534","11534","True","skip"
"docs/models/prompt-leak-and-auth-sensitive-policy.md","True","True","13359","13359","True","skip"
"docs/models/ragflow-governance.md","True","True","12137","12137","True","skip"
"docs/ops/_manifest_allowed_copy_plan_2026-05-27.csv","True","True","2286","2286","True","skip"
"docs/ops/_pre_sync_inventory_2026-05-27.csv","True","True","9511","9511","True","skip"
"docs/ops/CODEX_DOCS_PARITY_SYNC_BRIEF.md","True","True","8277","8277","True","skip"
"docs/ops/decision-log.md","True","True","20799","46062","False","preserve-primary"
"docs/ops/evals/discord-bot-publication-embed-happy.md","True","True","2392","2392","True","skip"
"docs/ops/evals/discord-bot-settlement-loss-embed.md","True","True","2689","2689","True","skip"
"docs/ops/evals/discord-bot-slash-pick-today-happy.md","True","True","2766","2766","True","skip"
"docs/ops/evals/discord-bot-slash-unauthenticated-projection.md","True","True","2210","2210","True","skip"
"docs/ops/evals/model-court-betting-certainty-refusal.md","True","True","2327","2327","True","skip"
"docs/ops/evals/model-court-happy-with-citations.md","True","True","3425","3425","True","skip"
"docs/ops/evals/model-court-personal-advice-refusal.md","True","True","2581","2581","True","skip"
"docs/ops/evals/model-court-thin-evidence-refusal.md","True","True","2678","2678","True","skip"
"docs/ops/evals/model-journal-banned-vocab-block.md","True","True","2666","2666","True","skip"
"docs/ops/evals/model-journal-happy-path.md","True","True","3298","3298","True","skip"
"docs/ops/evals/model-journal-thin-week-honesty.md","True","True","3293","3293","True","skip"
"docs/ops/evals/pre-mortem-compare-called-vs-missed.md","True","True","4472","4472","True","skip"
"docs/ops/evals/pre-mortem-compose-happy.md","True","True","2547","2547","True","skip"
"docs/ops/evals/pre-mortem-compose-thin-coverage.md","True","True","3091","3091","True","skip"
"docs/ops/evals/README.md","True","True","2067","2067","True","skip"
"docs/ops/evals/studio-betting-education-recommendation-block.md","True","True","2594","2594","True","skip"
"docs/ops/evals/studio-betting-education-thin-evidence.md","True","True","2244","2244","True","skip"
"docs/ops/evals/studio-fan-explainer-happy.md","True","True","2025","2025","True","skip"
"docs/ops/evals/studio-sponsor-safe-competitor-claim-block.md","True","True","2454","2454","True","skip"
"docs/ops/evals/studio-x-thread-emoji-ladder-block.md","True","True","2290","2290","True","skip"
"docs/ops/evals/twitter-bot-banned-vocab-block.md","True","True","2002","2002","True","skip"
"docs/ops/evals/twitter-bot-paid-pick-refusal.md","True","True","1647","1647","True","skip"
"docs/ops/evals/twitter-bot-publication-happy.md","True","True","1852","1852","True","skip"
"docs/ops/evals/twitter-bot-settlement-loss.md","True","True","2049","2049","True","skip"
"docs/ops/evals/twitter-bot-settlement-win.md","True","True","1783","1783","True","skip"
"docs/ops/improvement-backlog.md","True","True","2400","2400","True","skip"
"docs/ops/issue-queue.md","True","True","2515","2515","True","skip"
"docs/ops/PRIMARY_CLONE_SYNC_AUDIT_2026-05-27.md","True","True","5169","5169","True","skip"
"docs/ops/pr-review-checklist.md","True","True","10336","10336","True","skip"
"docs/ops/stuck-queue.md","True","True","926","926","True","skip"
"docs/ops/stuck-queue-protocol.md","True","True","6472","6472","True","skip"
"docs/ops/WAVE_COMPLETION_REPORT_2026-05-27.md","True","True","16661","16661","True","skip"
"docs/performance/biomechanics-modality-taxonomy.md","True","True","11799","11799","True","skip"
"docs/performance/force-plate-and-high-performance-layer.md","True","True","12071","12071","True","skip"
"docs/performance/play-classification-layer.md","True","True","11675","11675","True","skip"
"docs/performance/player-performance-intelligence.md","True","True","11300","11300","True","skip"
"docs/performance/radar-and-tracking-data-layer.md","True","True","11805","11805","True","skip"
"docs/performance/sports-science-evidence-vault.md","True","True","11130","11130","True","skip"
"docs/performance/sports-science-licensing-policy.md","True","True","12563","12563","True","skip"
"docs/source-providers/commercial-crawling-approval-gate.md","True","True","10115","10115","True","skip"
"docs/source-providers/historical-trends-provider-policy.md","True","True","9588","9588","True","skip"
"docs/source-providers/scores24-source-review.md","True","True","10258","10258","True","skip"
"reports/agent-handoffs/ACTIVE_AGENT_RELAY.md","True","False","28861","","False","investigate"
"reports/agent-handoffs/CODEX_CC1_HANDOFF.md","True","False","7999","","False","investigate"
