Priority,Ticket,Scope,Strategic value
P0,Build Product Truth Receipt,"Schema + PDP component + admin editor for claims, image provenance, shipping/returns clarity",Trust
P0,Build Owner Approval Ledger,"Workflow states: intake, draft, image QA, claims QA, owner approval, publish, revision",Control
P0,Build Copy Claims Filter,Regex/rules + evidence-required claim types + admin warnings,Compliance
P0,Build Honest Image Pipeline,"Original/processed file lineage, allowed transforms, before/after, rights status",Image truth
P1,Build Launch Readiness Gate,"Block publish unless product receipt, image, copy, price, inventory, shipping, returns pass",Operations
P1,Build mobile PDP system,"Above-fold hierarchy, gallery, variants, trust drawer, returns/shipping, sticky CTA",Conversion
P1,Build Visual QA Gate,"Image dimensions, compression, alt text, crop safety, performance budget",Performance/trust
P1,Build Supplier Confidence panel,"Supplier score from returns, fulfillment, defects, communications",Operations
P2,Build Search/Watchlist system,"Search, facets, saved products, no-results capture, owner demand panel",Discovery
P2,Build weekly owner report,"Products blocked, product performance, demand signals, risk flags",Owner leverage
