Primitive,Purpose,Data required,UI expression,Priority
Product Truth Receipt,Customer proof behind product page claims,"Claims, image provenance, supplier notes, shipping/returns clarity",PDP drawer/card,Critical
Owner Approval Ledger,Human-controlled publishing workflow,"Drafts, AI edits, reviewer, approvals, revisions",Admin ledger,Critical
Honest Image Pipeline,Clean images without misrepresenting products,"Original file, edit event, rights status, before/after",Image QA board,Critical
Product Provenance Card,Show what is known about source/supplier,"Supplier/source notes, authenticity basis, limitations",PDP trust block,High
Supplier Confidence Score,Private trust score for suppliers,"Fulfillment, returns, defect rate, communication",Admin supplier panel,High
Copy Claims Filter,Block unsupported claims,"Claim type, evidence, owner approval",Copy QA warning,Critical
Visual QA Gate,Protect speed and honesty,"Alt text, compression, crop safety, dimensions",Launch readiness panel,High
Search/Watchlist System,Turn discovery into demand signal,"Search events, saved products, no-result queries",Search + account watchlist,Medium
Category Taste System,Make category pages feel curated,"Editorial rules, facet logic, product proof badge",Category page,Medium
Launch Readiness Gate,Block incomplete products,"Receipt, image, copy, shipping, returns, inventory, approval",Admin publish gate,Critical
