window,repo,trend_gain,total_stars,language,license,category,gse_mapping,posture,risk,reason
daily,wonderwhy-er/DesktopCommanderMCP,328,7445,TypeScript,VERIFY,agent tooling / computer control,"Reference for governed MCP tool manifests, terminal/file operations, command logging, and permission boundaries.",REFERENCE_ONLY,CRITICAL,Very broad machine authority. Never connect to production credentials or allow unrestricted shell/file access.
daily,addyosmani/agent-skills,1116,76961,JavaScript,VERIFY,agent skills / engineering workflow,Mine DEFINE→PLAN→BUILD→VERIFY→REVIEW→SHIP patterns for GSE Artifact Packs and repeatable Claude/Codex skills.,ADOPT_PATTERNS,LOW,Strong fit for repeatable engineering discipline; inspect each skill before use.
daily,mattpocock/skills,1712,164904,Shell,VERIFY,agent skills,"Benchmark skill packaging, discoverability, and narrow task contracts for the Agent Foundry.",REFERENCE_ONLY,MEDIUM,Large skill collections expand supply-chain risk; do not bulk-install.
daily,obra/superpowers,1013,251943,Shell,MIT,agent development methodology,"Adopt spec-before-code, worktrees, TDD, evidence-before-claims, and independent review gates.",ADOPT_PATTERNS,LOW,Methodology is more valuable than importing the runtime wholesale.
daily,TencentCloud/TencentDB-Agent-Memory,123,8307,TypeScript,MIT,agent memory,Use the layered L0→L3 memory shape to finish Jarvis Memory without replacing Postgres as canonical truth.,PROTOTYPE_PATTERN,MEDIUM,Benchmark claims are self-reported; memory promotion and conflict handling must remain GSE-governed.
daily,davila7/claude-code-templates,118,28808,Python,VERIFY,Claude Code configuration,"Reference for skill/agent template UX, monitoring, and setup auditing.",REFERENCE_ONLY,MEDIUM,Treat templates as untrusted code until scanned.
daily,microsoft/TypeScript,177,109815,TypeScript,Apache-2.0,language/runtime foundation,Already foundational. Monitor language/tooling improvements; no architecture change required.,OBSERVE,LOW,Do not migrate simply because it is trending.
daily,oven-sh/bun,209,94365,Rust,MIT,JavaScript runtime,Potential CI/dev-speed experiment in an isolated compatibility branch only.,OBSERVE,MEDIUM,GSE is already a mature npm/Next monorepo; runtime migration has high blast radius and low immediate product value.
weekly,Zackriya-Solutions/meetily,8795,22765,Rust/TypeScript,MIT,local transcription / meeting intelligence,"Reference for local capture, transcript segmentation, owner-session memory candidates, and privacy-first processing.",REFERENCE_ONLY,MEDIUM,Do not record or retain third-party conversations without consent.
weekly,usestrix/strix,6443,40185,Python,Apache-2.0,agentic application security,Pilot authorized staging-only dynamic security validation and PR-scoped findings with proof-of-concept evidence.,PILOT_STAGING_ONLY,CRITICAL,Only test assets owned by GSE or explicitly authorized; isolate targets and credentials.
weekly,openai/codex-plugin-cc,4484,27451,JavaScript,VERIFY,multi-model code review,"Use Codex as an independent reviewer/rescue lane inside Claude Code, especially for adversarial diff review.",PILOT,MEDIUM,Prevent recursive review loops and cap usage.
weekly,ogulcancelik/herdr,4714,15241,Rust,AGPL-3.0-or-commercial,terminal agent multiplexer,Reference for operator visibility across concurrent agents and persistent run state.,REFERENCE_ONLY,MEDIUM,AGPL/commercial licensing and operator-tool scope make direct product integration unnecessary.
weekly,bradautomates/claude-video,4093,7229,Python,VERIFY,video understanding,"Reference for rights-cleared Film Room ingestion: transcript, keyframes, temporal evidence, frame budgets, and deduplication.",PROTOTYPE_RIGHTS_CLEARED,HIGH,Never download or analyze copyrighted game footage without rights or a lawful source.
weekly,facebook/astryx,3582,,TypeScript,MIT,agent-ready design system,"Mine semantic component contracts, accessibility documentation, and agent-readable examples for the GSE design system.",ADOPT_PATTERNS,LOW,Do not replace the GSE visual identity or migrate the component stack wholesale.
weekly,alibaba/page-agent,3799,25851,TypeScript,MIT,in-page GUI agent,"Owner-only cockpit copilot for navigation, inspection, accessibility, and form assistance through explicit intents.",PROTOTYPE_INTERNAL_ONLY,HIGH,"No arbitrary browsing, credential entry, purchase, publication, or irreversible action."
weekly,TencentCloud/CubeSandbox,2514,9591,Rust,Apache-2.0,agent sandbox,Evaluate as a later isolated execution backend after a Docker/worktree abstraction is proven.,EVALUATE,HIGH,"Sandboxing reduces but does not eliminate credential, egress, kernel, and supply-chain risk."
weekly,diegosouzapw/OmniRoute,4268,15117,TypeScript,MIT,AI gateway / model routing,"Mine provider abstraction, fallback, budget, and observability patterns; build a GSE-native router.",ADOPT_PATTERNS_NOT_DEPENDENCY,HIGH,Provider/free-access and token-savings claims require independent verification and terms review.
weekly,stablyai/orca,4328,15995,TypeScript,VERIFY,parallel agent development environment,"Reference for isolated worktrees, mobile monitoring, diff annotation, design mode, and multi-agent comparison.",REFERENCE_OPERATOR_TOOL,MEDIUM,"Use as an external development workflow, not as a runtime dependency of the GSE product."
weekly,huggingface/speech-to-speech,811,6019,Python,Apache-2.0,local voice agent pipeline,Prototype owner-only Voice Jarvis with modular VAD→STT→LLM→TTS and explicit text confirmation.,PROTOTYPE_OWNER_ONLY,HIGH,Voice commands cannot directly trigger external or irreversible actions.
weekly,tt-a1i/archify,1019,,Python,MIT,architecture diagram skill,Adopt architecture/workflow/data-flow diagram artifacts with validation as part of every major feature pack.,ADOPT_PATTERNS,LOW,"Generated diagrams must be validated against code, not treated as truth by default."
weekly,iOfficeAI/OfficeCLI,5789,14491,C#,Apache-2.0,agentic document generation,"Internal export lane for investor decks, reports, partner packets, and operational spreadsheets with render-inspect-fix QA.",PILOT_INTERNAL,MEDIUM,"Generated artifacts require content, licensing, and visual review."
weekly,xbtlin/ai-berkshire,3596,12658,Python,VERIFY,adversarial multi-agent research,"Mine independent analyst viewpoints, anti-bias checklists, explicit conclusions, exact calculations, and reproducible dossiers.",ADOPT_PATTERNS,MEDIUM,Do not import finance claims or performance assertions; use only the deliberation design.
weekly,asgeirtj/system_prompts_leaks,7765,55866,JavaScript,N/A,prompt leak collection,None.,QUARANTINE,BLOCKED,"Misaligned with GSE integrity, security, and intellectual-property doctrine."
monthly,DeusData/codebase-memory-mcp,26480,29774,C,MIT,codebase knowledge graph,"High-value pilot for persistent code graph, route/call-chain discovery, dependency evidence, and lower-context agent sessions.",PILOT_READ_ONLY,HIGH,"Index in a disposable environment first; validate privacy, binary provenance, resource use, and answer quality."
monthly,calesthio/OpenMontage,32095,36808,Python,AGPL-3.0,agentic video production,"Mine storyboard, research, asset, edit, render, cost-log, approval, and self-review pipeline patterns for GSE Studio.",REFERENCE_ONLY_UNTIL_LICENSE_REVIEW,HIGH,AGPL in a SaaS context requires legal review; content rights and generated-media provenance remain mandatory.
monthly,Panniantong/Agent-Reach,28774,54550,Python,VERIFY,cross-platform web/social research,Conceptual input for source discovery only.,OWNER_REVIEW,CRITICAL,"Zero-fee access claims may rely on scraping or unofficial access; every source must pass terms, rights, and clearance gates."
