Source,URL,Category,Lesson
The Odds API,https://the-odds-api.com/,Odds feed,"Low-cost odds fallback; JSON, multiple bookmakers, historical odds on paid plans"
SportsDataIO,https://sportsdata.io/apis,Sports/betting/news data,"Scores, stats, plays, injuries, lineups, odds, ID mapping, historical data"
Sportradar Sports Data API,https://sportradar.com/media-tech/data-content/sports-data-api/?lang=en-us,Enterprise sports data,Enterprise-grade depth/reliability benchmark
API-SPORTS,https://api-sports.io/,Multi-sport API,Developer-friendly real-time sports data alternative
nflverse,https://nflverse.nflverse.com/,Open NFL analytics data/tools,Free/open historical NFL base layer
nflverse-data,https://github.com/nflverse/nflverse-data,Open data repo,Automated NFL data repository for reproducible analysis
SportsGameOdds,https://sportsgameodds.com/,Odds API,Real-time/pre-match odds alternative; developer-oriented
OpticOdds,https://opticodds.com/,B2B odds data,"Premium breadth: many sportsbooks, push/pull feeds, props/injuries"
Unabated,https://unabated.com/,Odds screen/analytics,"Line shopping, market maker lens, props simulator inspiration"
Sports Insights,https://www.sportsinsights.com/,Market movement analytics,"Bet signals, public/sharp framing, odds-screen competition"
Action Network,https://www.actionnetwork.com/,Bet tracking/content/data,"Competitor for line movement, betting splits, tracker UX"
Betstamp,https://betstamp.com/education/the-downfalls-of-using-public-betting-percentages-betting-splits,Education,Useful warning: public/sharp split narratives can be seductive and weak
NCPG,https://www.ncpgambling.org/,Responsible gambling,Harm mitigation baseline and help-resource posture
AGA Responsible Marketing Code,https://americangaming.org/marketing-code/,Responsible marketing,Advertising guardrails; avoid misleading/risk-free language
Coalition principles,https://pr.nba.com/coalition-for-responsible-sports-betting-advertising/,Responsible sports betting ads,"Age targeting, no irresponsible/excessive gambling, careful delivery"
NCAA sports betting advocacy,https://www.ncaa.org/sports/2026/3/6/sports-betting.aspx,Integrity/athlete protection,Student-athlete harassment/coercion and competition-integrity risk
Datadog Incident Management,https://docs.datadoghq.com/incident_response/incident_management/,Incident timeline/ops,"Model for Flight Recorder, status changes, postmortems"
Grafana,https://grafana.com/,Observability dashboards,Metric/log/trace architecture inspiration
Sentry,https://sentry.io/,Error/performance monitoring,"Breadcrumbs, issue context, post-incident diagnosis inspiration"
Bloomberg Terminal,https://professional.bloomberg.com/products/bloomberg-terminal/,Financial terminal,"Command-center mental model: data, news, analytics, workflows"
Bloomberg Risk,https://professional.bloomberg.com/products/risk/,Risk analytics,Intraday risk-monitoring analogy for market pressure/confidence
SPORTSQL paper,https://arxiv.org/abs/2508.17157,Sports NL-to-SQL research,Natural-language querying over temporal sports data
Big Ideas in Sports Analytics,https://arxiv.org/abs/2301.04001,Sports analytics research,"EV, win probability, strength, betting market data as big concepts"
NeuTTS-Air model,https://huggingface.co/neuphonic/neutts-air,Voice model,On-device TTS/voice cloning; podcast workflow with consent/disclosure
OpenAI synthetic voice guidance,https://openai.com/index/navigating-the-challenges-and-opportunities-of-synthetic-voices/,Voice safety,Explicit informed consent and AI voice disclosure standards
Apple Podcasts creator docs,https://podcasters.apple.com/support/897-submit-a-show,Podcast distribution,RSS validation and show-submission requirements
