id,title,priority,horizon,owner_mode,mvp_1,mvp_2,primary_metric,primary_risk
RD20-01,Source-Provenanced World Model,P0,Foundation,Data + prediction foundation,Define SourceRegistry and FeatureProvenance schemas in docs/types first,Add provenance badges to existing docs/API spec before UI,Percent of outputs with complete provenance,Over-collecting raw provider payloads
RD20-02,What Changed Engine,P0,Foundation,Signal lifecycle + retention,Create normalized ChangeEvent type,"Generate deltas for odds, weather and injury placeholders",D7 return from delta viewers,Notification spam
RD20-03,Scenario Lab,P0,User value,Modeling + interactive product,Docs-only scenario state schema,Fixture demo for injury/weather/line toggles,Scenario saves,Users confusing hypothetical with source truth
RD20-04,GSE Optimizer,P0,Revenue wedge,DFS/fantasy tooling,CSV parser spec for user-provided files,Constraint model spec,CSV import success rate,Terms violations from scraping
RD20-05,Player Intelligence Cards,P1,User value,Entity graph + UI,Player card data contract,Fixture player cards,player page return rate,Overcrowded cards
RD20-06,Original Analog Ratings,P1,Differentiation,Model vocabulary + design,Analog rating dictionary,formula documentation placeholder,rating comprehension in user testing,IP/trade dress risk
RD20-07,Live Slate Command Center,P1,Game-day habit,Ops + premium UI,Live slate UI spec with fixture data,alert severity taxonomy,Sunday active users,Performance degradation
RD20-08,Autopsy and Calibration Mode,P1,Trust loop,Model QA + content,Autopsy taxonomy,fixture autopsy cards,autopsy page return rate,Cherry-picking
RD20-09,Personal Watchlists,P1,Retention,Personalization + notifications,Watchlist data contract,fixture add/remove UX,watchlist creation rate,Notification fatigue
RD20-10,Free/Pro/Elite Entitlement Architecture,P0,Revenue foundation,Product + gating,Feature entitlement matrix,server-side projection contract,free activation,Leaky gates
RD20-11,Founder-Only Intelligence Layer,P1,Moat protection,Operator cockpit,Founder-only taxonomy,cockpit page spec,time to source diagnosis,Formula leakage
RD20-12,Trust UX and Evidence Badges,P0,Design foundation,UI system + claim governance,Trust state taxonomy,badge copy and color rules,source drawer opens,Badge overload
RD20-13,News Claim Cards,P1,Source governance,Content + evidence,ClaimCard schema,source tier and TTL rules,claim review time,Copyright overcapture
RD20-14,Weather and Stadium Intelligence,P1,Signal depth,Data adapters + UI,Stadium weather schema,NWS adapter spec,weather module engagement,Wrong stadium coordinates
RD20-15,Injury and Availability Intelligence,P1,Signal depth,Official data + claim governance,Availability state machine,official-status precedence rules,availability alert accuracy,Medical speculation
RD20-16,Best Ball and High-Stakes Fantasy Layer,P2,Expansion,Fantasy product,Format registry for FFPC/NFFC/Drafters/Underdog-style rules,user upload spec,draft-season active users,Platform ToS risk
RD20-17,Betting-Adjacent Market Intelligence,P1,Careful expansion,Market data + compliance,Market signal taxonomy,derived-context display rules,market card engagement,Regulatory exposure
RD20-18,Retention Lifecycle Engine,P1,Growth system,Analytics + lifecycle,Retention event taxonomy,activation funnel definition,activation rate,Message fatigue
RD20-19,Brand Voice and Content Operating System,P1,Trust + acquisition,Brand + content,Voice principles,allowed/banned phrase list,newsletter signup rate,Tout drift
RD20-20,Cross-Domain Website Polish,P0,Best website standard,Frontend excellence,Website quality scorecard,route-level performance budget,INP/LCP/CLS by route,Overdesigned visuals hurting performance
