Source,URL,Category,Lesson
Shopify Hydrogen,https://shopify.dev/docs/api/hydrogen/latest,Headless commerce,Opinionated React-based Shopify storefront stack
Medusa,https://medusajs.com/,Open-source commerce OS,Customizable commerce workflow/admin for agentic development
Saleor,https://saleor.io/,Headless commerce,"Composable, API-first commerce option"
Commerce Layer,https://commercelayer.io/,Composable commerce,Multi-market commerce API option
BigCommerce,https://www.bigcommerce.com/,Hosted/composable commerce,Mature commerce platform benchmark
Vercel Commerce,https://vercel.com/templates/next.js/commerce,Next.js commerce template,Storefront architecture starting reference
Baymard Product Page UX,https://baymard.com/blog/current-state-ecommerce-product-page-ux,UX research,Product page UX gap is a conversion opportunity
Baymard Checkout UX,https://baymard.com/research/checkout-usability,Checkout UX research,Checkout friction and trust research baseline
Baymard cart abandonment,https://baymard.com/lists/cart-abandonment-rate,Cart abandonment research,Average cart abandonment benchmark and checkout urgency
Google Core Web Vitals,https://developers.google.com/search/docs/appearance/core-web-vitals,Performance/search UX,LCP/INP/CLS user-experience quality signals
web.dev business impact,https://web.dev/case-studies/vitals-business-impact,Performance case studies,Performance dashboard and conversion impact model
Algolia search/discovery,https://www.algolia.com/blog/ecommerce/search-and-discovery-for-e-commerce-search-engines,Search/discovery,"Search + discovery, facets, category search, personalization patterns"
Typesense,https://typesense.org/,Open-source search,Self-hosted search/control alternative
Meilisearch,https://www.meilisearch.com/,Search/AI retrieval,Fast search and retrieval option
Awwwards Shopify,https://www.awwwards.com/websites/shopify/,Design inspiration,Award-winning ecommerce visual and interaction references
Shopify product page examples,https://www.shopify.com/il/blog/product-page,Product-page examples,Modern Shopify PDP patterns
Apple,https://www.apple.com/,Product storytelling,"Editorial product hierarchy, restraint, trust, ecosystem clarity"
Salesforce checkout guide,https://www.salesforce.com/commerce/online-payment-solution/checkout-guide/,Checkout trust,Trust signal placement and payment confidence
Photopea,https://photopea.com/,Image editor,Browser-based product image adjustments
Squoosh,https://squoosh.app/,Image optimization,Compression pipeline to protect Core Web Vitals
remove.bg,https://www.remove.bg/,Image background removal,Honest product image cleanup
Cleanup.pictures,https://cleanup.pictures/,Image cleanup,Inpainting with strict no-misrepresentation policy
Shots,https://shots.so/,Mockups,Product/app mockups for launch assets
Have I Been Pwned,https://haveibeenpwned.com/,Security,Brand/admin email breach monitoring
Whole-page ecommerce search paper,https://arxiv.org/abs/2602.02514,Search research,2D layout and long-term satisfaction optimization for SRPs
WebMall benchmark,https://arxiv.org/abs/2508.13024,Agent benchmark,Agent-based shopping workflows and product comparison complexity
