name,url,category,data_format,free_signal,paid_lock,gse_use,legal_risk
FFPC,https://myffpc.com/cms/public/play/best-ball-dynasty-leagues-official-rules,High-stakes season-long and best ball,"Draft rooms, optimized best-ball scoring, blind bidding/free agency in some formats, scoring rules, roster protection/cutdowns","Rules pages expose contest mechanics, roster settings, scoring and entry tiers","Entry fees, high-stakes contests, app/account, paid league access","Model high-stakes roster-construction behavior, best-ball optimal lineup scoring, keeper/dynasty state, and risk/reward language",Do not scrape private drafts or paid league rooms; public rules only unless user-authorized export exists
NFFC / NFC (closest verified match to user-mentioned NFPC),https://nfc.shgn.com/rules/2680,High-stakes fantasy championship,"Contest lobby, draft formats, entry limits, prizes, team counts, scoring and legal rules",Rules and contest-size metadata,Entry fees and account-gated contest participation,"Track high-stakes format variants, prize ladder psychology, max-entry rules, and championship framing",NFPC acronym was not verified as a current football platform; keep NFFC/NFC as the verified target
RealTime Fantasy Sports / RTSports,https://cloudfront.rtsports.com/daily/rules,DFS and season-long commissioner platform,"Salary-cap or draft DFS, entry limits, commissioner rules, free and paid contests, account verification",Public DFS rules and some league pages,"Paid contests, verified account, private leagues","Useful for contest distribution, entry-limit, free/paid split and commissioner dispute mechanics",No private league scraping; use public rules only or user exports
Drafters,https://drafters.com/,Best ball draft platform,"Snake drafts, best-ball contests, ADP, roster construction, tournament structures",Public contest marketing and rules-adjacent pages,"Contest entry, account, draft rooms","Compare draft-first UX, no-management retention, ADP movement and best-ball tournament loops",Do not scrape private draft rooms or participant-level contest data
Underdog Fantasy,https://help.underdogfantasy.com/en/articles/8991638-best-ball-contest-guidelines,"Best ball, pick'em and fantasy contests","Best-ball draft rooms, auto-selected starters, pick'em lines, media ecosystem",Help/rules and some content/media,"Contest entry, app/account, state eligibility","Benchmark mobile-first draft loops, pick'em UX, best-ball ADP gravity and media/community funnel",No private contest scraping; legality varies by state/product
DraftKings Classic DFS,https://www.draftkings.com/help/rules/nfl,"DFS, sportsbook, fantasy and predictions","Salary CSVs, scoring rules, contest lobby, ownership/field behavior, sportsbook lines","Rules, public content, some promos","Deposits, contests, app/account, location and age checks","Canonical DFS scoring/salary-cap and contest-entry model; use user-uploaded salary CSV, not scraping",High. Use only user-provided exports or approved APIs/partnerships
DraftKings Pick6,https://pick6.draftkings.com/pick6-rules-and-scoring,Peer-to-peer pick'em DFS,"Pick sets, player stat projections, more/less choices, official stat provider settlement, min-play rules",Rules pages explain core mechanics and edge cases,"Entries, app/account, jurisdiction constraints","Benchmark pick-set construction, stat-line UX, min-play handling, live/pre-live mix and peer-to-peer framing",High. Do not ingest lines or stat projections without approval
FanDuel Picks,https://www.fanduel.com/rules/,Peer-to-peer pick'em DFS,"3+ player more/less picks, contest distribution into $1 entries, guaranteed/perfect-pick mechanics","Rules, eligibility, high-level mechanics","Verified FanDuel account, entries, geography",Benchmark simplified no-lobby entry distribution and more/less product clarity,High. Do not scrape; use legal product analysis only
PrizePicks,https://www.prizepicks.com/help-center/payouts,Pick'em DFS / player projection contests,"Player picks, team/culture picks, lineups, payout structures, official scoring and stat correction policy",Help center and rules,"Entries, app/account, jurisdiction","Track payout communication, flex/power-style mechanics, stat correction friction, and product risk",High. Avoid copying projections or payout logic
Sleeper Picks,https://sleeper.com/picks,Fantasy app plus pick'em,"More/less player stats, trends, recent performance, in-app fantasy context",App/product pages and public API for some fantasy data,Pick'em entries and app geography,Benchmark fantasy community-to-pick'em bridge and free in-app trend surfaces,Medium-high. Sleeper public API is not the same as picks product access
