unitId,sourceRef,sourceCommit,path,symbolOrArtifact,capability,currentMainEquivalent,comparisonEvidence,uniqueValue,protectedZone,canonicalOwner,recoveryTarget,status,reason
COLLISION-1a,main,c179a781,apps/web/lib/scraping/source-rights-registry.ts,SOURCE_RIGHTS_REGISTRY,source rights,self,DEC-020 this session: diffed byte-for-byte against the duplicate; 860 lines untouched,canonical,rights,main,main,ON_MAIN_EXACT,Canonical registry; zero-line diff confirmed by this session's own DEC-020 work
COLLISION-1b,(deleted),n/a,apps/web/lib/source-rights/source-rights-registry.ts,SOURCE_RIGHTS_REGISTRY (duplicate),source rights,apps/web/lib/scraping/source-rights-registry.ts,DEC-020: proven an 18-line pure re-export shim with zero independent logic,none,rights,main,DELETED,DELETE_AFTER_PROOF,"Deleted in this session's own DEC-020 work; three consumers + barrel re-pointed to canonical. Already resolved, listed here for completeness of the collision record the seed doc names."
COLLISION-2a,main,c179a781,apps/web/lib/claude-api/model-router.ts,pickModelForSurface,model/provider routing,self,GX-000 Codebase Twin evidence table (#127),canonical,model routing,main,main,ON_MAIN_EXACT,Surface-to-tier routing decision; live
COLLISION-2b,main,c179a781,apps/web/lib/claude-api/provider-dispatch.ts,callClaude,model/provider routing,self,GX-000 Codebase Twin evidence table (#127),canonical,model routing,main,main,ON_MAIN_EXACT,Provider execution dispatch (Bedrock/Vertex/direct + fallback); live
COLLISION-2c,main,c179a781,apps/web/lib/claude-api/free-lane.ts,shouldUseFreeLane,model/provider routing,self,GX-000 Codebase Twin evidence table (#127),canonical,model routing,main,main,ON_MAIN_EXACT,Narrow Cerebras free-lane gate; inert (no live call site) per GX-000's own finding
COLLISION-2d,claude/frontier-superset-rebased,a7b38043,(shadow Model Portfolio Router),shadowRecommend,model/provider routing,apps/web/lib/claude-api/{model-router,provider-dispatch,free-lane}.ts,PR #124 body: AI_MODEL_ROUTER_SHADOW_ENABLED defaults off; no consumer branches on it; no fetch/model-call primitives,advisory-only shadow layer,model routing,PR #124 (open),PR #124 -> adapt onto existing stack after #127 lands,RECOVER_PARTIAL,"Convergence ruling (seed doc + GX-000 evidence table): the portfolio router MUST call/advise the existing three modules, never become a fourth parallel execution sink. Gated on W006 (blocked on #127 merge)."
COLLISION-3a,main,c179a781,apps/web/lib/jarvis/capability-registry.ts,JarvisCapability,capability vocabulary,none (adjacent domain),GX-000 Codebase Twin evidence table (#127); this session's own W005 naming-collision check via git show,adjacent-not-duplicate,none,main,main,ON_MAIN_EXACT,"Agent/action vocabulary, not a plan-compilable execution capability per GX-000's own ruling"
COLLISION-3b,main,c179a781,apps/web/lib/agents/agent-os.ts,AgentOSDefinition/AGENT_OS_REGISTRY,capability vocabulary,none (adjacent domain),GX-000 Codebase Twin evidence table (#127),adjacent-not-duplicate,none,main,main,ON_MAIN_EXACT,22-agent registry; describes agents not plan-compilable capabilities
COLLISION-3c,main,c179a781,apps/web/lib/resource-intelligence/types.ts,ResourceDisposition,capability vocabulary,none (adjacent domain),GX-000 Codebase Twin evidence table (#127),adjacent-not-duplicate,none,main,main,ON_MAIN_EXACT,Resource disposition vocabulary; adjacent domain
COLLISION-3d,claude/frontier-superset-rebased,a7b38043,(skill manifests),AgentFoundry skill manifest scanner,capability vocabulary,none yet on main,PR #124 body,real capability,none,PR #124 (open),adapt into genesis-kernel Capability Genome,RECOVER_PARTIAL,Per seed doc collision #3: one canonical genome (#127); existing systems (3a/3b/3c) become adapters/projections into it, not replaced
COLLISION-3e,genesis/gx-000-codebase-twin-plan-compiler,fdd1739e,packages/genesis-kernel/src/contracts.ts,GenesisCapability,capability vocabulary,none (new canonical),this session's own W005 pass: git show'd this file directly to confirm IntelligenceContract name-collision was a false alarm (different domain),canonical target,none,PR #127 (open),PR #127,ACTIVE_PR,"The §7-mandated shared vocabulary target for 3a-3d's eventual convergence, per the seed doc's collision #3 ruling"
COLLISION-4a,research/galaxy-genesis-metacortex-2026-07-17,42b3a338,docs/genesis/WORK_QUEUE.md,GX-* dependency-ordered queue,program queue,none (canonical),PR #125 body: canonical implementation authority,canonical,none,PR #125 (open),PR #125,ACTIVE_PR,One capability built once per seed doc collision #4
COLLISION-4b,chatgpt/galaxy-genesis-orchestrator,05f4dfb9,docs/frontier/GALAXY_GENESIS_QUEUE.md,GG-* queue,program queue,research/galaxy-genesis-metacortex-2026-07-17,PR #126 CLOSED 2026-07-17T20:56:53Z (live-verified this pass); GG-000 DONE on this repo's OWN earlier convergence-map work ruling GG-001 = GX-000's build,superseded,none,PR #125 (archived copy),PR #125 archive,SUPERSEDED,"Preserved verbatim in #125's docs/genesis/archive/ per the seed doc's preservation receipt"
COLLISION-4c,claude/galaxy-sports-edge-pdcswh,920f1b55,docs/frontier/WORKSTREAM_QUEUE.md,W-* frontier queue,program queue,partially maps into GX-*,this session's own DEC-001..DEC-030 register,real, independently-evidenced work,none,PR #129 (this branch),map into canonical GX-* queue,RECOVER_PARTIAL,"W001-W005/W007/W009/W-OTS/W-MCP/W-WEATHER-REC are all landed capabilities with real evidence; the seed doc's own framing is that W* maps INTO the canonical GX-* queue, not a fourth parallel authority"
COLLISION-5a,codex/gse-frontier-recovery-2026-07-13,9b6da1ae,apps/web/lib/intelligence-playback/,PickEvidenceEnvelope/IntelligenceEvent lifecycle,playback spine,apps/web/lib/intelligence-playback/ (ported),this session's own W001 work: three documented semantic grafts (DEC-008),ported with grafts,evidence/proof,PR #129 (ported),PR #129,RECOVER_PARTIAL,"Spine landed via W001; residual #112-only value (market-values types, additional projections) not yet diffed this pass"
COLLISION-5b,codex/gse-frontier-recovery-2026-07-13,9b6da1ae,(market-values canonical types + lib/market/*),GameRoomEvidence market types,playback spine,none yet ported,RECOVERY_MATRIX.md row #112: RECOVER_PARTIAL continuing,real, not yet ported,evidence,PR #112 (open),future W001-adjacent slice,RECOVER_PARTIAL,Named explicitly in RECOVERY_MATRIX.md as still-recoverable; requires a real diff pass to scope
COLLISION-6a,main,c179a781,packages/prediction-engine (Glass Ledger),hash-chain slate commitments,proof,self,merged PR #120 (git-log-verified this pass),canonical,proof,main,main,ON_MAIN_EXACT,Live Merkle-commitment + proof-receipt system
COLLISION-6b,claude/galaxy-sports-edge-pdcswh,920f1b55,apps/web/lib/reality-receipt/,RealityReceipt (W003) + slateInclusion (Phase 2.2),proof,extends 6a,DEC-015/DEC-018 this session: composes (not replaces) the W001 envelope digest + 6a's receipt tamper-check + W-OTS anchor,real extension,proof,PR #129,PR #129,RECOVER_PARTIAL,"One Proof Fabric extended, per seed doc collision #6 ruling -- not a second public-truth system"
COLLISION-6c,claude/clv-decomposition-reland-rebased,69ac55e0,packages/db/prisma (SlateCommitment.pedersenAggregate*),Pedersen aggregate commitment fields,proof,extends 6a,PR #122 body: additive nullable columns,real extension pending migration,proof + migrations,PR #122 (open, OWNER_GATE),PR #122,OWNER_GATE,Extends the same Proof Fabric; migration application is founder-only
