Tool,URL,Category,GSN use,Lumera use,Risk/Status
WhatsMyName,https://whatsmyname.ink,OSINT / username intelligence,Brand/account impersonation detection; source identity hygiene,Brand protection and handle monitoring,Safe with privacy guardrails
EmailOSINT,https://emailosint.org,OSINT / email lookup,Source validation and phishing/source-risk awareness,Fraud/customer-support risk awareness,Research-only; avoid invasive use
Blink,https://blink.new,AI full-stack builder,"Rapid prototypes for admin panels, dashboards, review queues",Rapid prototypes for product intake/admin workflows,Safe for prototypes; production requires code audit
getdesign.md,https://getdesign.md,AI-agent design spec library,GSN DESIGN.md for data-dense command-center rules,LUMERA DESIGN.md for commerce design law,Safe
Flova AI,https://flova.ai/en/,AI video/animation,"Sports explainers, intro/motion concepts, short clips",Brand/product motion and social content concepts,Safe with asset-rights checks
HackCheck,https://app.hackcheck.io,Security/breach checking,Account-security awareness for operators and source accounts,Brand/account protection and breach response,Risk awareness; only check owned/authorized accounts
win3zz gist,https://gist.github.com/win3zz/0a1c70589fcbea64dba4588693095855,Security/scraping/bypass-adjacent gist,Do not operationalize; use as abuse-case threat model,Do not operationalize; use as abuse-case threat model,Excluded from production
OverAPI,https://overapi.com,Developer cheat-sheet index,Fast dev reference for repo work,Fast dev reference for repo work,Safe
roadmap.sh,https://roadmap.sh,Developer roadmaps,"Skill map for data, backend, DevOps, AI implementation",Commerce engineering and ops learning map,Safe
Replit,https://replit.com,AI coding/cloud dev,Prototype throwaway tools and small internal utilities,Prototype catalog/admin utilities,Safe for low-risk prototypes; secrets caution
Resume Worded,https://resumeworded.com,Scoring/feedback product pattern,Analyst Note Grader pattern,Product copy QA scoring pattern,Safe as UX inspiration
Ray.so,https://ray.so,Code image generator,"Dev notes/social snippets, public code visuals",Brand-safe developer/social visuals,Safe; avoid exposing secrets
CodePen,https://codepen.io,Front-end playground/community,Motion/data-viz experiments,Product-card/interaction experiments,Safe
web.dev,https://web.dev,Web performance guidance,Performance budget and data UX reliability,Core Web Vitals and ecommerce speed budget,Safe
ToolFK,https://toolfk.com,Utility toolbox,One-off developer conversions/parsing,One-off image/text/dev utilities,Safe if no sensitive data uploaded
WiFi Map,https://wifimap.io,Connectivity map/app,Low relevance; operational travel/connectivity only,Low relevance; operational travel/connectivity only,"Safe, low strategic value"
SMS24,https://sms24.com,Temporary SMS numbers,Do not use for accounts; abuse-pattern awareness only,Do not use for accounts; abuse-pattern awareness only,Excluded
12ft.io,https://12ft.io,Paywall bypass service,Do not use; source-access risk awareness only,Do not use; source-access risk awareness only,Excluded
Library Genesis,https://libgen.is,Shadow library,Do not use; copyright risk awareness only,Do not use; copyright risk awareness only,Excluded
Sci-Hub,https://sci-hub.se,Shadow library,Do not use; copyright risk awareness only,Do not use; copyright risk awareness only,Excluded
AlternativeTo,https://alternativeto.net,Software alternatives directory,Tool discovery and vendor backup map,Tool discovery and vendor backup map,Safe
JustWatch,https://justwatch.com,Streaming discovery engine,Inspiration: normalized availability/discovery across providers,Inspiration: product availability/search aggregation UX,Safe as UX inspiration
Internet Archive,https://archive.org,Digital library/Wayback,Evidence/source snapshot policy via Wayback; historical research,Brand/provenance archive; legal public-domain/reference use,Safe if used lawfully
Project Gutenberg,https://gutenberg.org,Public-domain books,Lawful public-domain copy/design tone references,Lawful public-domain copy/design tone references,Safe
PDFDrive,https://pdfdrive.com,PDF search/library,Do not use for copyrighted materials; risk awareness only,Do not use for copyrighted materials; risk awareness only,Excluded/research-only
Open Culture,https://openculture.com,Free culture/education index,Legal education/reference discovery,Brand education/reference discovery,Safe if source rights checked
WolframAlpha,https://wolframalpha.com,Computational intelligence,Probability/math checks; model-calibration explanations,Margin/pricing/unit calculations; QA checks,Safe
Photopea,https://photopea.com,Online image editor,Media graphics; thumbnails,Product image edits within honesty policy,Safe with upload/privacy/rights guardrails
Squoosh,https://squoosh.app,Image compression,Performance-friendly graphics,Core product-image optimization,Safe
remove.bg,https://remove.bg,Background removal,Sports media cutouts only if rights owned,Honest product background cleanup,Safe if images owned/authorized
Cleanup.pictures,https://cleanup.pictures,AI inpainting/object removal,Caution: never alter evidence/screenshots; social media cleanup only,Caution: no misleading product edits; no watermark removal without rights,Safe only with honesty/rights gate
Unscreen,https://unscreen.com,Video background removal; shutdown/Canva redirect,Legacy only; use Canva/alternatives,Legacy only; use Canva/alternatives,Deprecated
Carbon,https://carbon.now.sh,Code image generator,Clean code snippets for docs/social,Clean code snippets for docs/social,Safe; avoid secrets
Shots,https://shots.so,Mockup generator,Dashboard/mobile mockups,Product-page/app mockups,Safe with asset rights
Smartmockups/Canva,https://smartmockups.com,Mockup generator redirected to Canva,Sports deck/site mockups,Commerce product/social mockups,Safe with asset rights
Have I Been Pwned,https://haveibeenpwned.com,Breach notification/search,Operator account hygiene; domain monitoring,Brand/account security monitoring,Safe for owned emails/domains
start.me OSINT4ALL,https://start.me/p/L1rEYQ/osint4all,OSINT directory,"Source discovery framework, not stalking",Brand protection and fraud risk map,Research-only with privacy rules
Luma Labs Boards,https://app.lumalabs.ai/boards,AI video/3D creative board,Cinematic sports intro/concept boards,Product/brand motion boards,Safe with asset rights
Abacus ChatLLM,https://apps.abacus.ai/chatlim,AI chat/workbench,Research assistant comparison; prompt testing,Commerce content/ops assistant comparison,Safe with data privacy caution
FakeDetail,https://fakedetail.com,Fake detail/synthetic identity-adjacent,Do not use; abuse-case and fraud threat model only,Do not use; fraud/evasion threat model only,Excluded
NeuTTS-Air,https://huggingface.co/spaces/neuphonic/neutts-air,Open-source/on-device TTS voice cloning,SPORTS ONLY: weekly podcast voice workflow with consent/disclosure,Excluded from Lumera unless separate lawful brand use later,Allowed only with explicit consent/disclosure
htmx,https://htmx.org,HTML-over-wire web framework,Admin cockpit small interactive surfaces without heavy JS,Admin forms/review queue interactions,Safe
Sourcegraph,https://sourcegraph.com,Code search/context platform,"Large-repo context, agent oversight, cross-cutting changes","Large-repo context, agent oversight, cross-cutting changes",Safe
DevDocs,https://devdocs.io,Developer docs aggregator,Fast offline/API docs,Fast offline/API docs,Safe
regex101,https://regex101.com,Regex editor/debugger,"Data import validators, parser QA",Import/claim/copy validator QA,Safe; do not paste secrets
